rank,country_name,finalIq,pop2021,mother_educ,father_educ,gender,internet,math,read,science,stu_wgt,desk,room,television,computer_n,car,book,wealth,escs,class
15,Australia,99,25788.215,ISCED 3A,ISCED 3A,female,yes,486.55,567.187,553.974,27.88069,yes,yes,1,1,2,more than 500,-0.2675,0.4512,HIGH
43,Portugal,94,10167.925,ISCED 2,ISCED 1,male,no,285.229,396.084,373.604,22.54261,yes,no,3+,0,1,11-25,-2.1177,-2.2435,LOW-MED
81,Brazil,85,213993.437,ISCED 3A,ISCED 3A,female,yes,491.473,554.946,569.43,12.78454,yes,no,1,2,1,11-25,-1.2398,0.6031,LOW
73,United Arab Emirates,87,9991.089,"ISCED 3B, C",ISCED 3A,male,yes,315.164,395.274,352.652,1.06897,yes,yes,3+,3+,3+,26-100,2.3517,1.0669,LOW-MED
23,Hungary,98,9634.164,"ISCED 3B, C",ISCED 3A,female,yes,448.122,480.208,437.04,10.835,no,yes,3+,3+,2,101-200,-0.0257,-0.5183,HIGH
36,Poland,96,37797.005,ISCED 3A,ISCED 3A,male,yes,356.696,389.085,341.578,69.83114,yes,yes,3+,3+,2,26-100,0.1982,-0.3552,MED-HIGH
96,Peru,84,33359.418,ISCED 3A,ISCED 3A,male,yes,451.466,387.537,390.204,57.89855,yes,yes,2,1,0,11-25,-2.355,-0.3169,LOW
8,Canada,100,38067.903,ISCED 3A,ISCED 3A,female,yes,624.746,606.674,589.581,51.10819,yes,yes,3+,3+,2,201-500,1.008,1.5675,HIGH
58,Uruguay,90,3485.151,ISCED 3A,ISCED 3A,male,yes,353.997,338.502,321.859,4.22927,no,yes,1,1,1,more than 500,-0.9933,-0.5153,LOW-MED
58,Uruguay,90,3485.151,ISCED 2,ISCED 2,female,yes,479.588,512.999,505.918,4.05898,no,yes,2,1,2,0-10,-0.7303,-1.0519,LOW-MED
11,Finland,100,5548.36,ISCED 3A,"ISCED 3B, C",male,yes,424.15,439.981,434.264,7.98214,yes,yes,3+,3+,2,201-500,0.8122,1.5408,HIGH
81,Brazil,85,213993.437,ISCED 3A,ISCED 3A,female,yes,345.261,580.466,463.735,82.43741,yes,yes,3+,3+,3+,26-100,0.9784,0.0557,LOW
46,Lithuania,94,2689.862,ISCED 3A,ISCED 3A,male,yes,465.522,503.947,479.364,2.18191,yes,no,2,1,1,0-10,-0.6811,-0.3646,LOW-MED
61,Thailand,89,69950.85,ISCED 3A,ISCED 2,female,yes,392.87,388.845,421.046,44.00303,no,yes,1,1,1,11-25,-1.6043,-1.0984,LOW-MED
127,Qatar,80,2930.528,less than ISCED1,ISCED 3A,male,yes,487.007,394.067,460.945,1.48148,yes,yes,1,1,1,0-10,-1.454,0.365,LOW
46,Lithuania,94,2689.862,ISCED 3A,ISCED 3A,female,yes,474.25,522.912,461.01,5.44914,yes,yes,3+,2,2,26-100,-1.0818,-0.8444,LOW-MED
