,ref,company_manufacturer,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,ingredients,most_memorable_characteristics,rating
1265,2338,Kaitxo,Spain,2019,Nicaragua,"San Juan Coop, El Castillero",75%,"3- B,S,C","spicy, tobacco",3.0
1266,2338,Kaitxo,Spain,2019,Peru,"Chulucanas, Piura, Cesar Vallejo-farmer",75%,"3- B,S,C","muted, grapes, astringent",3.0
1267,2334,Kaitxo,Spain,2019,Tanzania,"Morogoro, Kamili, Kilombero Valley, batch 13",75%,"3- B,S,C","base cocoa, fruit, fatty",3.25
1268,387,Kakao,Germany,2009,Vanuatu,Vanuatu,65%,,"cocoa, strong distinct spice",3.75
1269,837,Kakao,Germany,2012,Peru,Peru,64%,,"chewy, vanilla, metallic",2.5
1270,248,Kallari (Ecuatoriana),Ecuador,2008,Ecuador,Diego/ original micro,85%,"4- B,S,C,V","crumbly, vanilla, bitter",2.5
1271,263,Kallari (Ecuatoriana),Ecuador,2008,Ecuador,Cacao Nacional W.F.,75%,"4- B,S,C,V","grassy, earthy, coffee",2.5
1272,245,Kallari (Ecuatoriana),Ecuador,2008,Ecuador,Roberto,75%,"4- B,S,C,V","sweet, vanilla, coffee",2.75
1273,248,Kallari (Ecuatoriana),Ecuador,2008,Ecuador,Diego 48hr/ W.F. blend prototype,85%,"4- B,S,C,V","creamy, nutty, bitter, flat",2.75
1274,241,Kallari (Ecuatoriana),Ecuador,2008,Ecuador,Sisa 36hr/ W. F. blend prototype,70%,"4- B,S,C,V","creamy, mild marshmallow",3.0
1275,248,Kallari (Ecuatoriana),Ecuador,2008,Ecuador,Diego 60hr/ W.F. blend prototype,85%,"4- B,S,C,V","spicy, mild bitter",3.0
1276,269,Kallari (Ecuatoriana),Ecuador,2008,Ecuador,Cacao Nacional W.F.,85%,"4- B,S,C,V","fruity,floral,cooling sensation",3.0
1277,241,Kallari (Ecuatoriana),Ecuador,2008,Ecuador,Sisa's Secret/ original micro,70%,"4- B,S,C,V","intense, mint, marshmallow",3.5
1278,404,Kaoka (Cemoi),France,2009,Blend,Noir,70%,,mild bitter and chemical off,2.75
1279,423,Kaoka (Cemoi),France,2009,Ecuador,Ecuador,80%,,"spicy, floral, bitter",2.75
1280,2708,Kasama,Canada,2021,Philippines,"Davao, Mindanao, batch 24",70%,"3- B,S,C","licorice, melon",3.25
1281,2708,Kasama,Canada,2021,Papua New Guinea,"Karkar Island, Madong, batch 34",70%,"3- B,S,C","plum, molasses",3.5
1282,1133,Kerchner,U.S.A.,2013,Dominican Republic,"La Red, Project Reserva, Guaconejo",70%,"3- B,S,C","fatty, dark berry, grassy",3.75
1283,431,Ki' Xocolatl,Mexico,2009,Mexico,Dark,72%,"5- B,S,C,V,L","sweet, vanilla domintates, nut",2.0
1284,2478,Kin + Pod,Canada,2020,Colombia,"Tumaco, batch 113",70%,"3- B,S,C","poor finish, cocoa, grassy",3.25
1285,1251,Kiskadee,U.S.A.,2014,Dominican Republic,"La Red, Guanconjeco",60%,"2- B,S","gritty, overly sweet, citrus",3.0
1286,1968,Krak,Amsterdam,2017,Belize,Belize,70%,"2- B,S","gritty, sour, berries",3.0
1287,1968,Krak,Amsterdam,2017,Vietnam,Vietnam,70%,"2- B,S","sticky, molasses, sour",3.0
1288,2016,Krak,Amsterdam,2017,Mexico,Xoconusco,70%,"2- B,S","medium roast, nutty",3.25
1289,2064,Krak,Amsterdam,2018,Madagascar,Mava Sa Ferme D'ottange,70%,"2- B,S","roasty, nutty",3.0
1290,2068,Krak,Amsterdam,2018,Philippines,Kablon Farm,70%,"2- B,S","nuts, dried fruit, grassy",3.25
1291,2044,Krak,Amsterdam,2018,Mexico,"Xoconusco, triple turned",70%,"2- B,S","intense, high acidity",3.75
1292,2286,Krak,Netherlands,2019,Colombia,H. Betulia B6,70%,"2- B,S","light color,",3.0
1293,2282,Krak,Amsterdam,2019,Papua New Guinea,Gazelle,70%,"2- B,S","astringent, smomkey cocoa",3.25
1294,1422,Kto,U.S.A.,2014,Peru,San Martin,72%,"2- B,S","intense, pungent, tangy",2.5
1295,1422,Kto,U.S.A.,2014,Venezuela,Ocumare,72%,"3- B,S,C","nutty, pungent, sour",2.75
1296,1422,Kto,U.S.A.,2014,Belize,Belize,72%,"3- B,S,C","nutty, sour milk",3.0
1297,1422,Kto,U.S.A.,2014,Madagascar,Sambirano Valley,72%,"3- B,S,C","strawberry, intense, sour",3.25
1298,1426,Kto,U.S.A.,2014,Belize,Belize,90%,"2- B,S","intense, spicy, pungent",3.25
1299,1426,Kto,U.S.A.,2014,Dominican Republic,Elvesia,72%,"3- B,S,C","spicy, molasses, earthy",3.25
1300,1426,Kto,U.S.A.,2014,Dominican Republic,ROIG,72%,"3- B,S,C","earthy, fatty, tea",3.25
1301,1852,K'ul,U.S.A.,2016,Peru,"Maranon, Fortunato No. 4",70%,"4- B,S,C,L","astringent, unbalanced, off",2.75
1302,1840,K'ul,U.S.A.,2016,Haiti,"Kafupbo, Petit Bourg, De Borgnes",70%,"4- B,S,C,L","spicy, vanilla, dairy",3.25
1303,1852,K'ul,U.S.A.,2016,Brazil,"Bahia, Fazenda Camboa",70%,"4- B,S,C,L","creamy, mild flavors",3.75
1304,1852,K'ul,U.S.A.,2016,Ecuador,"Los Rios, Hacienda Limon, Heirloom",70%,"4- B,S,C,L",oranges,3.75
1305,1359,Kyya,U.S.A.,2014,Uganda,Uganda,72.5%,"5-B,S,C,V,Sa","vanilla, earth, cardboard",2.5
1306,1363,Kyya,U.S.A.,2014,Ecuador,Ecuador,72.5%,"5-B,S,C,V,Sa","intense, bourbon, vanilla",2.5
1307,1359,Kyya,U.S.A.,2014,Dominican Republic,Hispaniola,72.5%,"5-B,S,C,V,Sa","vanilla, candy-like, sour milk",3.0
1308,1363,Kyya,U.S.A.,2014,Madagascar,Madagascar,72.5%,"5-B,S,C,V,Sa",mild vanilla and mild fruit,3.0
1309,451,L.A. Burdick (Felchlin),U.S.A.,2009,Bolivia,Bolivian,68%,"5- B,S,C,V,L","rich, spice, cheese",3.0
1310,431,L.A. Burdick (Felchlin),U.S.A.,2009,Madagascar,Madagascar,64%,"5- B,S,C,V,L","smooth, rich, lemon",3.5
1311,597,L.A. Burdick (Felchlin),U.S.A.,2010,Venezuela,Venzuela,71%,"5- B,S,C,V,L","cocoa, nutty, acidic, burning",3.0
