,country,year,CL,PR,Status,Region_Code,Region_Name,is_ldc
2489,Libya,2014,6,6,NF,2,Africa,0
2490,Libya,2015,6,6,NF,2,Africa,0
2491,Libya,2016,6,7,NF,2,Africa,0
2492,Libya,2017,6,7,NF,2,Africa,0
2493,Libya,2018,6,7,NF,2,Africa,0
2494,Libya,2019,6,7,NF,2,Africa,0
2495,Libya,2020,6,7,NF,2,Africa,0
2496,Liechtenstein,1995,1,1,F,150,Europe,0
2497,Liechtenstein,1996,1,1,F,150,Europe,0
2498,Liechtenstein,1997,1,1,F,150,Europe,0
2499,Liechtenstein,1998,1,1,F,150,Europe,0
2500,Liechtenstein,1999,1,1,F,150,Europe,0
2501,Liechtenstein,2000,1,1,F,150,Europe,0
2502,Liechtenstein,2001,1,1,F,150,Europe,0
2503,Liechtenstein,2002,1,1,F,150,Europe,0
2504,Liechtenstein,2003,1,1,F,150,Europe,0
2505,Liechtenstein,2004,1,1,F,150,Europe,0
2506,Liechtenstein,2005,1,1,F,150,Europe,0
2507,Liechtenstein,2006,1,1,F,150,Europe,0
2508,Liechtenstein,2007,1,1,F,150,Europe,0
2509,Liechtenstein,2008,1,1,F,150,Europe,0
2510,Liechtenstein,2009,1,1,F,150,Europe,0
2511,Liechtenstein,2010,1,1,F,150,Europe,0
2512,Liechtenstein,2011,1,1,F,150,Europe,0
2513,Liechtenstein,2012,1,1,F,150,Europe,0
2514,Liechtenstein,2013,1,1,F,150,Europe,0
2515,Liechtenstein,2014,1,1,F,150,Europe,0
2516,Liechtenstein,2015,1,1,F,150,Europe,0
2517,Liechtenstein,2016,1,2,F,150,Europe,0
2518,Liechtenstein,2017,1,2,F,150,Europe,0
2519,Liechtenstein,2018,1,2,F,150,Europe,0
2520,Liechtenstein,2019,1,2,F,150,Europe,0
2521,Liechtenstein,2020,1,2,F,150,Europe,0
2522,Lithuania,1995,2,1,F,150,Europe,0
2523,Lithuania,1996,2,1,F,150,Europe,0
2524,Lithuania,1997,2,1,F,150,Europe,0
2525,Lithuania,1998,2,1,F,150,Europe,0
2526,Lithuania,1999,2,1,F,150,Europe,0
2527,Lithuania,2000,2,1,F,150,Europe,0
2528,Lithuania,2001,2,1,F,150,Europe,0
2529,Lithuania,2002,2,1,F,150,Europe,0
2530,Lithuania,2003,2,1,F,150,Europe,0
2531,Lithuania,2004,2,2,F,150,Europe,0
2532,Lithuania,2005,1,1,F,150,Europe,0
2533,Lithuania,2006,1,1,F,150,Europe,0
2534,Lithuania,2007,1,1,F,150,Europe,0
2535,Lithuania,2008,1,1,F,150,Europe,0
2536,Lithuania,2009,1,1,F,150,Europe,0
2537,Lithuania,2010,1,1,F,150,Europe,0
2538,Lithuania,2011,1,1,F,150,Europe,0
2539,Lithuania,2012,1,1,F,150,Europe,0
2540,Lithuania,2013,1,1,F,150,Europe,0
2541,Lithuania,2014,1,1,F,150,Europe,0
2542,Lithuania,2015,1,1,F,150,Europe,0
2543,Lithuania,2016,1,1,F,150,Europe,0
2544,Lithuania,2017,1,1,F,150,Europe,0
2545,Lithuania,2018,1,1,F,150,Europe,0
2546,Lithuania,2019,1,1,F,150,Europe,0
2547,Lithuania,2020,2,1,F,150,Europe,0
2548,Luxembourg,1995,1,1,F,150,Europe,0
2549,Luxembourg,1996,1,1,F,150,Europe,0
2550,Luxembourg,1997,1,1,F,150,Europe,0
2551,Luxembourg,1998,1,1,F,150,Europe,0
2552,Luxembourg,1999,1,1,F,150,Europe,0
2553,Luxembourg,2000,1,1,F,150,Europe,0
2554,Luxembourg,2001,1,1,F,150,Europe,0
2555,Luxembourg,2002,1,1,F,150,Europe,0
2556,Luxembourg,2003,1,1,F,150,Europe,0
2557,Luxembourg,2004,1,1,F,150,Europe,0
2558,Luxembourg,2005,1,1,F,150,Europe,0
2559,Luxembourg,2006,1,1,F,150,Europe,0
2560,Luxembourg,2007,1,1,F,150,Europe,0
2561,Luxembourg,2008,1,1,F,150,Europe,0
2562,Luxembourg,2009,1,1,F,150,Europe,0
2563,Luxembourg,2010,1,1,F,150,Europe,0
2564,Luxembourg,2011,1,1,F,150,Europe,0
2565,Luxembourg,2012,1,1,F,150,Europe,0
2566,Luxembourg,2013,1,1,F,150,Europe,0
2567,Luxembourg,2014,1,1,F,150,Europe,0
2568,Luxembourg,2015,1,1,F,150,Europe,0
2569,Luxembourg,2016,1,1,F,150,Europe,0
2570,Luxembourg,2017,1,1,F,150,Europe,0
2571,Luxembourg,2018,1,1,F,150,Europe,0
2572,Luxembourg,2019,1,1,F,150,Europe,0
2573,Luxembourg,2020,1,1,F,150,Europe,0
2574,Madagascar,1995,4,2,PF,2,Africa,1
2575,Madagascar,1996,4,2,PF,2,Africa,1
2576,Madagascar,1997,4,2,PF,2,Africa,1
2577,Madagascar,1998,4,2,PF,2,Africa,1
2578,Madagascar,1999,4,2,PF,2,Africa,1
2579,Madagascar,2000,4,2,PF,2,Africa,1
2580,Madagascar,2001,4,2,PF,2,Africa,1
2581,Madagascar,2002,4,3,PF,2,Africa,1
2582,Madagascar,2003,3,3,PF,2,Africa,1
2583,Madagascar,2004,3,3,PF,2,Africa,1
2584,Madagascar,2005,3,3,PF,2,Africa,1
2585,Madagascar,2006,3,4,PF,2,Africa,1
2586,Madagascar,2007,3,4,PF,2,Africa,1
2587,Madagascar,2008,3,4,PF,2,Africa,1
2588,Madagascar,2009,4,6,PF,2,Africa,1
2589,Madagascar,2010,4,6,PF,2,Africa,1
2590,Madagascar,2011,4,6,PF,2,Africa,1
2591,Madagascar,2012,4,6,PF,2,Africa,1
2592,Madagascar,2013,4,5,PF,2,Africa,1
2593,Madagascar,2014,4,4,PF,2,Africa,1
2594,Madagascar,2015,4,3,PF,2,Africa,1
2595,Madagascar,2016,4,3,PF,2,Africa,1
2596,Madagascar,2017,4,3,PF,2,Africa,1
2597,Madagascar,2018,4,3,PF,2,Africa,1
2598,Madagascar,2019,3,3,PF,2,Africa,1
2599,Madagascar,2020,4,3,PF,2,Africa,1
2600,Malawi,1995,3,2,F,2,Africa,1
2601,Malawi,1996,3,2,F,2,Africa,1
2602,Malawi,1997,3,2,F,2,Africa,1
2603,Malawi,1998,3,2,F,2,Africa,1
2604,Malawi,1999,3,3,PF,2,Africa,1
2605,Malawi,2000,3,3,PF,2,Africa,1
2606,Malawi,2001,3,4,PF,2,Africa,1
2607,Malawi,2002,4,4,PF,2,Africa,1
2608,Malawi,2003,4,3,PF,2,Africa,1
2609,Malawi,2004,4,4,PF,2,Africa,1
2610,Malawi,2005,4,4,PF,2,Africa,1
2611,Malawi,2006,3,4,PF,2,Africa,1
2612,Malawi,2007,4,4,PF,2,Africa,1
2613,Malawi,2008,4,4,PF,2,Africa,1
2614,Malawi,2009,4,3,PF,2,Africa,1
2615,Malawi,2010,4,3,PF,2,Africa,1
2616,Malawi,2011,4,3,PF,2,Africa,1
2617,Malawi,2012,4,3,PF,2,Africa,1
2618,Malawi,2013,4,3,PF,2,Africa,1
2619,Malawi,2014,4,3,PF,2,Africa,1
